Geneid	Samtools sort on 310(R)
7175	2824
54953	1390
10896	12
102724919	0
5132	0
5743	9
103752588	0
5321	74
104169671	2
101929766	0
339479	0
101929120	3
440704	0
64407	117
431704	0
5996	268
6003	4
100616345	35
5997	102
102724954	1
51377	1056
6738	1004
51022	339
79577	1482
100302163	1
8707	6
101929184	0
343450	16
100616363	0
3075	1174
10878	3
3078	1
10877	1
3080	0
81494	5
2165	0
259266	752
360023	2022
23418	8
163486	1120
388722	68
56956	0
140609	4867
127124	0
5788	2398
100131234	0
406955	0
406995	0
102800316	0
104266961	0
400800	0
2494	62
554279	0
23528	914
9928	359
83479	712
101929224	1
23271	1857
2848	2
55765	727
23046	350
779	2
647219	1
252839	3019
91156	12
5317	16
7139	15
3898	1826
7135	46
23612	1309
1465	2820
376693	13
89796	566
100873949	7
100847050	0
100302158	0
55705	2412
102466724	1
149345	269
25802	394
10440	2423
6051	3376
102465443	0
1999	4103
9283	55
127829	1459
5778	247
148713	3
59352	12
29089	372
4660	1022
127833	10
10765	3155
100506696	81
641515	5
148709	3
5877	694
59349	909
51094	3716
51706	2473
100506747	2
92703	2268
8497	178
4656	18
134	804
4608	7
1116	403
1118	4
100506775	2
730227	2
7832	2252
2331	580
5549	593
26254	0
493	2950
677843	2
84719	3
54900	165
9877	9035
100381270	1569
6635	1422
284573	0
9580	1454
55224	1470
101929441	9
5972	2
3814	2
127845	83
22874	1959
127841	3
84919	3146
5287	1594
100189122	4
100189425	0
4194	1012
10446	339
23114	94
6900	2
388730	19
5929	772
25778	1362
9911	52
81788	264
55220	3
284576	0
93273	7
101669762	15
105371697	10
442891	1
100189098	0
5129	399
284578	0
148808	14
2005	2329
85414	116
64710	8778
8934	726
254428	430
148811	4
284581	0
115019	2
103021296	0
103021295	2
338382	67
1510	0
440712	21
553	0
729533	62
23380	492
9641	212
102466202	0
83593	488
1939	607
8444	118
9261	5795
3586	35
29949	0
50604	18
11009	5
9214	337
5284	36
83953	1
79098	4
5208	221
55432	115
725	3
722	1
1604	1005
1380	19
1378	215
1379	2
4179	10560
407026	20
407025	5
148696	9
947	1034
105372883	10
5362	299
642587	4
406988	0
57172	1
3914	219
100422894	0
50486	505
3290	61
80342	324
148304	83
3664	1102
27042	752
255928	0
574036	36
56256	1706
105373474	3
55733	512
3756	184
55758	1156
7188	720
84791	86
343035	2
7779	638
4751	840
9926	3504
102723727	0
25896	1111
51514	621
100131205	14
100422947	0
101929541	7
5525	3828
692157	1
55248	224
29937	1049
101929565	2
467	117
149647	0
55509	14
25936	473
128387	220
149643	1
642946	28
28982	684
79805	103
90806	1257
26750	698
100505832	1
100861504	0
5629	33
105372911	0
56950	886
5784	451
1063	1792
3776	39
101929612	0
51133	3473
7399	12
102723833	0
2104	4
55105	500
128153	25
103752555	0
100885798	0
101929631	0
51018	623
728463	0
7042	31
103611157	0
643723	0
127018	420
102723886	17
55532	0
2058	4638
10380	773
55699	5002
406997	1
406969	0
25782	1652
100302234	1
677818	0
6791	3
4139	112
79762	393
54996	153
64757	693
101929730	3
100873924	1
105373280	1
3142	117
400804	6
11221	209
101929771	1
100189378	1
79802	36
9015	145
100506161	19
375056	2533
64853	1092
148362	1711
400823	7
84976	170
7100	151
55061	804
164127	1
388743	354
824	5634
7159	1117
105369195	175
441124	39
23219	1684
8560	1627
101927143	1
101927164	1
4931	1053
100313769	0
29097	879
80232	5614
100616468	0
149111	98
127602	137
3930	886
55740	3019
6726	6409
2052	2748
9725	2627
10637	11
29920	1242
102466270	0
7044	1
163859	1100
3020	6755
64746	2709
83881	5
286826	244
142	5328
375057	121
3707	867
100506443	0
5664	731
56997	1256
105379282	25
8476	1999
339500	492
100130093	25
65094	273
116841	811
105373289	11
339501	0
7483	895
100847072	0
101060022	6
89780	79
100506571	0
375	13848
100500810	0
79169	715
128308	697
2987	4350
57165	59
574432	10
200205	282
574407	39
84033	746
101927401	32
